"state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year"
"AL",7000,42,294000,44000,3.38,994000,2019
"AZ",23000,46,1058000,201000,2.04,2158000,2019
"AR",20000,55,1100000,176000,1.65,1815000,2019
"CA",335000,48,16080000,3216000,1.60,25728000,2019
"CO",32000,46,1472000,500000,2.34,3444000,2019
"FL",205000,45,9225000,830000,2.46,22694000,2019
"GA",102000,33,3366000,370000,2.67,8987000,2019
"HI",16000,80,1280000,51000,1.30,1664000,2019
"ID",92000,32,2944000,677000,1.62,4769000,2019
"IL",11000,39,429000,116000,4.12,1767000,2019
"IN",9000,55,495000,188000,3.78,1871000,2019
"IA",38000,55,2090000,1170000,2.35,4912000,2019
"KS",7000,79,553000,171000,2.35,1300000,2019
"KY",6000,41,246000,44000,4.66,1146000,2019
"LA",54000,72,3888000,428000,2.15,8359000,2019
"ME",15000,35,525000,110000,3.28,1722000,2019
"MI",94000,50,4700000,1363000,2.56,12032000,2019
"MN",118000,59,6962000,3063000,1.83,12740000,2019
"MS",22000,80,1760000,141000,1.87,3291000,2019
"MO",10000,43,430000,73000,3.35,1441000,2019
"MT",173000,86,14878000,5802000,1.49,22168000,2019
"NE",39000,52,2028000,223000,1.44,2920000,2019
"NJ",15000,28,420000,155000,4.68,1966000,2019
"NY",59000,58,3422000,1027000,4.00,13688000,2019
"NC",14000,42,588000,118000,4.11,2417000,2019
"ND",520000,65,33800000,6422000,1.43,48334000,2019
"OH",15000,67,1005000,442000,3.46,3477000,2019
"OR",87000,32,2784000,1141000,2.50,6960000,2019
"PA",19000,50,950000,409000,4.41,4190000,2019
"SC",16000,47,752000,45000,5.03,3783000,2019
"SD",270000,72,19440000,7582000,1.56,30326000,2019
"TN",8000,57,456000,91000,4.72,2152000,2019
"TX",126000,60,7560000,1663000,2.32,17539000,2019
"UT",22000,29,638000,89000,1.97,1257000,2019
"VT",6000,48,288000,84000,4.48,1290000,2019
"VA",5000,39,195000,49000,7.19,1402000,2019
"WA",81000,35,2835000,1191000,2.18,6180000,2019
"WV",6000,37,222000,47000,4.26,946000,2019
"WI",46000,47,2162000,692000,3.00,6486000,2019
"WY",39000,56,2184000,306000,1.43,3123000,2019
"AL",7000,39,273000,66000,5.43,1482000,2020
"AZ",25000,36,900000,360000,2.18,1962000,2020
"AR",20000,49,980000,176000,1.80,1764000,2020
"CA",320000,43,13760000,2752000,1.78,24493000,2020
"CO",30000,41,1230000,455000,2.09,2571000,2020
"FL",192000,46,8832000,883000,2.28,20137000,2020
"GA",101000,34,3434000,412000,2.36,8104000,2020
"HI",15000,105,1575000,79000,1.61,2536000,2020
"ID",107000,35,3745000,637000,1.75,6554000,2020
"IL",10000,52,520000,156000,5.56,2891000,2020
"IN",9000,55,495000,149000,4.14,2049000,2020
"IA",35000,58,2030000,1259000,2.59,5258000,2020
"KS",8000,62,496000,164000,2.93,1453000,2020
"KY",7000,33,231000,58000,6.25,1444000,2020
"LA",33000,69,2277000,228000,2.42,5510000,2020
"ME",10000,30,300000,78000,3.26,978000,2020
"MI",95000,47,4465000,1384000,2.70,12056000,2020
"MN",108000,55,5940000,2495000,1.75,10395000,2020
"MS",25000,73,1825000,146000,1.94,3541000,2020
"MO",9000,41,369000,100000,3.31,1221000,2020
"MT",110000,81,8910000,3208000,1.57,13989000,2020
"NE",37000,52,1924000,250000,1.71,3290000,2020
"NJ",14000,31,434000,91000,7.99,3468000,2020
"NY",58000,56,3248000,844000,3.39,11011000,2020
"NC",12000,38,456000,123000,5.13,2339000,2020
"ND",495000,78,38610000,8108000,1.60,61776000,2020
"OH",16000,75,1200000,576000,3.85,4620000,2020
"OR",95000,29,2755000,1102000,2.47,6805000,2020
"PA",19000,48,912000,392000,4.74,4323000,2020
"SC",16000,46,736000,66000,3.28,2414000,2020
"SD",245000,61,14945000,8668000,1.60,23912000,2020
"TN",7000,51,357000,54000,4.39,1567000,2020
"TX",157000,57,8949000,1253000,1.90,17003000,2020
"UT",28000,34,952000,171000,2.07,1971000,2020
"VT",6000,47,282000,96000,3.76,1060000,2020
"VA",5000,40,200000,54000,5.44,1088000,2020
"WA",98000,37,3626000,798000,2.54,9210000,2020
"WV",6000,46,276000,58000,3.89,1074000,2020
"WI",45000,50,2250000,855000,3.26,7335000,2020
"WY",38000,40,1520000,608000, 1.66,2523000,2020
