Year,nonResidents,hispanic,black,white,americanIndian,asian,nativeHawaiian,moreThanTwo,unknown
2022,1791,18751,1357,5636,38,8206,83,1696,698
2021,2044,18198,1423,5955,34,8294,86,1658,778
2020,2143,18002,1429,6202,39,8242,92,1811,839
2019,1897,17239,1403,6290,40,8266,103,1771,937
2018,2151,15722,1338,5969,42,8267,109,1723,1038
2017,2278,14957,1339,5940,46,7938,97,1741,1153
2016,2338,14752,1460,6464,64,8257,86,1827,1251
2015,2339,14298,1391,6730,59,8619,89,1806,1254
2014,2338,14752,1460,6464,64,8254,89,1827,1251
2013,2085,12855,1358,7268,176,7837,270,1551,1417
2012,1674,12638,1487,7909,195,7658,508,1394,1742
